,iupac,smiles,expt,calc
101,1-propylsulfanylpropane,CCCSCCC,-1.28,0.64
102,hexan-3-ol,CCC[C@@H](O)CC,-4.06,-2.585
103,acetonitrile,CC#N,-3.88,-2.7889999999999997
104,"N-methyl-N-(2,2,2-trifluoroethyl)aniline",CN(CC(F)(F)F)C1:C:C:C:C:C:1,-1.92,-3.964
105,"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane",FC(F)O[C@H](Cl)C(F)(F)F,0.1,-1.156
106,"hexa-1,5-diene",C=CCCC=C,1.01,2.487
107,m-xylene,CC1:C:C:C:C(C):C:1,-0.83,-0.6970000000000001
108,methyl acetate,COC(C)=O,-3.13,-3.83
109,trimethoxymethylbenzene,COC(OC)(OC)C1:C:C:C:C:C:1,-4.04,-5.559
110,ethyl benzoate,CCOC(=O)C1:C:C:C:C:C:1,-3.64,-4.5969999999999995
111,propanethiol,CCCS,-1.1,-0.182
112,heptan-2-one,CCCCCC(C)=O,-3.04,-2.945
113,carbofuran,CNC(=O)OC1:C:C:C:C2:C:1OC(C)(C)C2,-9.61,-11.126
114,benzyl bromide,BrCC1:C:C:C:C:C:1,-2.38,-1.8530000000000002
115,ethyl hexanoate,CCCCCC(=O)OCC,-2.23,-2.929
116,1-methoxypropane,CCCOC,-1.66,-0.598
117,4-methylmorpholine,CN1CCOCC1,-6.32,-5.774
118,3-hydroxybenzonitrile,N#CC1:C:C:C:C(O):C:1,-9.65,-7.739
119,"1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",ClC1:C:C:C(C2:C(Cl):C(Cl):C:C(Cl):C:2Cl):C:C:1Cl,-4.38,-0.705
120,propylbenzene,CCCC1:C:C:C:C:C:1,-0.53,-0.511
121,caffeine,CN1:C(=O):C2:C(:N:C:N:2C):N(C):C:1=O,-12.64,-17.621
122,N-methylmethanamine,CNC,-4.29,-2.991
123,"1,1,2,3,3,3-hexafluoroprop-1-ene",FC(F)=C(F)C(F)(F)F,2.93,2.305
124,4-chlorophenol,OC1:C:C:C(Cl):C:C:1,-7.03,-5.372999999999999
125,piperidine,C1CCNCC1,-5.11,-3.873
126,phenanthrene,C1:C:C:C2:C(:C:1):C:C:C1:C:C:C:C:C:1:2,-3.88,-5.263999999999999
127,iodomethane,CI,-0.89,-0.6409999999999999
128,"3,5-dichloro-2,6-dimethoxyphenol",COC1:C(Cl):C:C(Cl):C(OC):C:1O,-6.44,-5.98
129,"(E)-1,2-dichloroethylene",Cl/C=C/Cl,-0.78,1.024
130,n-pentane,CCCCC,2.3,2.673
131,butanenitrile,CCCC#N,-3.64,-2.287
132,"2-bromo-1,1,1,2-tetrafluoro-ethane",F[C@H](Br)C(F)(F)F,0.5,0.23399999999999999
133,2-isobutylpyrazine,CC(C)CC1:C:N:C:C:N:1,-5.04,-5.495
134,[(2S)-butan-2-yl] nitrate,CC[C@H](C)O[N+](=O)[O-],-1.82,-1.864
135,"1,4-dichloro-2-phenyl-benzene",ClC1:C:C:C(Cl):C(C2:C:C:C:C:C:2):C:1,-2.46,-1.903
136,"1,2,3,4-tetrachloro-5-phenyl-benzene",ClC1:C:C(C2:C:C:C:C:C:2):C(Cl):C(Cl):C:1Cl,-3.48,-1.31
137,"2,3-dimethylpentane",CC[C@@H](C)C(C)C,2.52,2.625
138,4-methylpentan-2-ol,CC(C)C[C@@H](C)O,-3.73,-2.907
139,tetrahydropyran,C1CCOCC1,-3.12,-1.8090000000000002
140,cyclopropane,C1CC1,0.75,2.485
141,"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",ClC1:C:C(C2:C:C(Cl):C(Cl):C(Cl):C:2Cl):C:C(Cl):C:1Cl,-3.17,-0.8220000000000001
142,"1,1-dichloroethylene",C=C(Cl)Cl,0.25,1.1079999999999999
143,2-methylpropan-1-ol,CC(C)CO,-4.5,-3.13
144,propyl propanoate,CCCOC(=O)CC,-2.44,-2.4530000000000003
145,hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-0.64,0.885
146,methylsulfanylbenzene,CSC1:C:C:C:C:C:1,-2.73,-1.325
147,2-ethylphenol,CCC1:C:C:C:C:C:1O,-5.66,-4.768
148,2-chloro-2-methyl-propane,CC(C)(C)Cl,1.09,0.826
149,isoprene,C=CC(=C)C,0.68,1.824
150,1-isopropyl-4-methyl-benzene,CC1:C:C:C(C(C)C):C:C:1,-0.68,-0.456
151,1-methylimidazole,CN1:C:C:N:C:1,-8.41,-6.282
152,ethylene glycol,OCCO,-9.3,-7.266
153,"1,2-dichlorobenzene",ClC1:C:C:C:C:C:1Cl,-1.36,-0.5529999999999999
154,6-chlorouracil,O=C1:C:C(Cl):[NH]:C(=O):[NH]:1,-15.83,-15.128
155,propyl formate,CCCOC=O,-2.48,-3.699
156,2-chlorodibenzo-p-dioxin,ClC1:C:C:C2:C(:C:1)OC1:C:C:C:C:C:1O2,-3.1,-4.053999999999999
157,hexanoic acid,CCCCCC(=O)O,-6.21,-7.877999999999999
158,diethyl butanedioate,CCOC(=O)CCC(=O)OCC,-5.71,-8.683
159,"2,4-dimethylpyridine",CC1:C:C:N:C(C):C:1,-4.86,-3.282
160,cyclohexene,C1=CCCCC1,0.14,1.175
161,"1,4-dimethylpiperazine",CN1CCN(C)CC1,-7.58,-7.874
162,"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",ClC1:C:C:C(C2:C:C(Cl):C(Cl):C(Cl):C:2Cl):C:C:1Cl,-3.04,-1.083
163,quinone,O=C1C=CC(=O)C=C1,-6.5,-6.96
164,methyl 2-chloroacetate,COC(=O)CCl,-4.0,-3.8160000000000003
165,butanal,CCCC=O,-3.18,-3.0439999999999996
166,ethylbenzene,CCC1:C:C:C:C:C:1,-0.79,-0.606
167,"1,1,2-trichloroethylene",ClC=C(Cl)Cl,-0.44,0.818
168,"N,N-diethylethanamine",CCN(CC)CC,-3.22,-1.955
169,"1,2,3,4,7-pentachlorodibenzo-p-dioxin",ClC1:C:C:C2:C(:C:1)OC1:C(Cl):C(Cl):C(Cl):C(Cl):C:1O2,-4.15,-2.31
170,"3,4-dimethylpyridine",CC1:C:C:N:C:C:1C,-5.22,-3.201
171,cyanuric acid,O=C1:[NH]:C(=O):[NH]:C(=O):[NH]:1,-18.06,-21.761999999999997
172,benzaldehyde,O=CC1:C:C:C:C:C:1,-4.02,-5.058
173,2-chloropyridine,ClC1:C:C:C:C:N:1,-4.39,-3.873
174,3-chloroprop-1-ene,C=CCCl,-0.57,0.9440000000000001
175,1-(p-tolyl)ethanone,CC(=O)C1:C:C:C(C):C:C:1,-4.7,-4.91
176,formaldehyde,C=O,-2.75,-3.155
177,1-chloro-2-methyl-benzene,CC1:C:C:C:C:C:1Cl,-1.14,-0.473
178,1-pyrrolidin-1-ylethanone,CC(=O)N1CCCC1,-9.8,-7.831
179,"1,1,1-trimethoxyethane",COC(C)(OC)OC,-4.42,-3.7
180,butylbenzene,CCCCC1:C:C:C:C:C:1,-0.4,-0.22699999999999998
181,"N,N-dimethylaniline",CN(C)C1:C:C:C:C:C:1,-3.45,-4.426
182,2-methoxypropane,COC(C)C,-2.01,-0.657
183,"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",ClC1:C(Cl):C(Cl):C2:C(:C:1Cl)OC1:C(Cl):C(Cl):C(Cl):C(Cl):C:1O2,-4.53,-1.147
184,"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",ClC1:C(Cl):C(Cl):C(C2:C(Cl):C(Cl):C(Cl):C(Cl):C:2Cl):C(Cl):C:1Cl,-2.98,0.76
185,"1,1,2-trichloroethane",ClCC(Cl)Cl,-1.99,-0.384
186,N-methylaniline,CNC1:C:C:C:C:C:1,-4.69,-5.718999999999999
187,isopropyl acetate,CC(=O)OC(C)C,-2.64,-3.3710000000000004
188,benzene,C1:C:C:C:C:C:1,-0.9,-0.8059999999999999
189,"1,2,3-trichlorobenzene",ClC1:C:C:C:C(Cl):C:1Cl,-1.24,-0.51
190,4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)SCSC1:C:C:C(Cl):C:C:1,-6.5,-7.024
191,"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",COP(=S)(OC)SCN1:N:N:C2:C:C:C:C:C:2:C:1=O,-10.03,-14.106
192,"1,2,4-trichlorodibenzo-p-dioxin",ClC1:C:C(Cl):C2:C(:C:1Cl)OC1:C:C:C:C:C:1O2,-4.05,-3.16
193,"2,3-dimethylbuta-1,3-diene",C=C(C)C(=C)C,0.4,1.8619999999999999
194,hex-1-ene,C=CCCCC,1.58,2.628
195,hydrogen sulfide,S,-0.7,-1.135
196,ethoxyethane,CCOCC,-1.59,-0.617
197,"2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",CCNC1:N:C(NC(C)C):N:C(SC):N:1,-7.65,-10.552
198,butyl paraben,CCCCOC(=O)C1:C:C:C(O):C:C:1,-8.72,-8.771
199,hexyl acetate,CCCCCCOC(C)=O,-2.26,-2.219
200,cyclopentanone,O=C1CCCC1,-4.7,-3.889
201,pentanoic acid,CCCCC(=O)O,-6.16,-9.052999999999999
202,bromoethane,CCBr,-0.74,0.48700000000000004
203,"2,6-dimethylnaphthalene",CC1:C:C:C2:C:C(C):C:C:C:2:C:1,-2.63,-2.8480000000000003
204,hexan-1-ol,CCCCCCO,-4.4,-3.0
205,1-chloro-2-phenyl-benzene,ClC1:C:C:C:C:C:1C1:C:C:C:C:C:1,-2.69,-2.508
206,1-methylcyclohexene,CC1=CCCCC1,0.67,1.338
207,hexyl nitrate,CCCCCCO[N+](=O)[O-],-1.66,-1.5959999999999999
208,bromoform,BrC(Br)Br,-2.13,-0.531
209,4-ethylphenol,CCC1:C:C:C(O):C:C:1,-6.13,-5.452999999999999
210,2-propoxyethanol,CCCOCCO,-6.4,-3.94
211,phenyl formate,O=COC1:C:C:C:C:C:1,-3.82,-5.442
212,5-iodouracil,O=C1:[NH]:C:C(I):C(=O):[NH]:1,-18.72,-17.742
213,butyric acid,CCCC(=O)O,-6.35,-9.434
214,"1,1,1-trifluoro-2,2,2-trimethoxyethane",COC(OC)(OC)C(F)(F)F,-0.8,-2.319
215,"(2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O,-20.52,-14.148
216,bromo-trifluoro-methane,FC(F)(F)Br,1.79,1.564
217,butan-1-ol,CCCCO,-4.72,-3.2319999999999998
218,fluorobenzene,FC1:C:C:C:C:C:1,-0.8,-0.040999999999999995
219,ethyl acetate,CCOC(C)=O,-2.94,-3.745
220,isobutyl 2-methylpropanoate,CC(C)COC(=O)C(C)C,-1.69,-2.58
221,2-methoxy-2-methyl-propane,COC(C)(C)C,-2.21,-0.691
222,heptachlor,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H](Cl)C=C[C@@H]3[C@@]1(Cl)C2(Cl)Cl,-2.55,-0.9740000000000001
223,pentan-3-one,CCC(=O)CC,-3.41,-3.05
224,"methyl 2,2,2-trifluoroacetate",COC(=O)C(F)(F)F,-1.1,-1.3530000000000002
225,naphthalene,C1:C:C:C2:C:C:C:C:C:2:C:1,-2.4,-3.213
226,"1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene",ClC1:C:C:C(C2:C:C(Cl):C(Cl):C(Cl):C:2Cl):C(Cl):C:1Cl,-4.4,-0.805
227,acetylsalicylic acid,CC(=O)OC1:C:C:C:C:C:1C(=O)O,-9.94,-9.399
228,"3,3-dimethylbutan-2-one",CC(=O)C(C)(C)C,-3.11,-3.234
229,methyl methanesulfonate,COS(C)(=O)=O,-4.87,-8.824
230,4-ethylpyridine,CCC1:C:C:N:C:C:1,-4.73,-3.19
231,N-isopropylpropan-2-amine,CC(C)NC(C)C,-3.22,-1.985
232,"2,7-dichlorodibenzo-p-dioxin",ClC1:C:C:C2:C(:C:1)OC1:C:C:C(Cl):C:C:1O2,-3.67,-3.321
233,heptan-1-amine,CCCCCCCN,-3.79,-2.5540000000000003
234,methylcyclopentane,CC1CCCC1,1.59,1.785
235,propane,CCC,2.0,2.495
236,2-methyltetrahydrofuran,C[C@H]1CCCO1,-3.3,-1.984
237,naphthalen-1-yl N-methylcarbamate,CNC(=O)OC1:C:C:C:C2:C:C:C:C:C:1:2,-9.45,-10.436
238,3-hydroxybenzaldehyde,O=CC1:C:C:C:C(O):C:1,-9.52,-9.369
239,anthracene,C1:C:C:C2:C:C3:C:C:C:C:C:3:C:C:2:C:1,-3.95,-5.187
240,dichloromethane,ClCCl,-1.31,0.038
241,"methyl 2,2-dimethylpropanoate",COC(=O)C(C)(C)C,-2.4,-3.304
242,trichloro(nitro)methane,O=[N+]([O-])C(Cl)(Cl)Cl,-1.45,-0.379
243,sulfolane,[O-][S+2]1([O-])CCCC1,-8.61,-9.624
244,"2,6-dimethylphenol",CC1:C:C:C:C(C):C:1O,-5.26,-4.308
245,m-cresol,CC1:C:C:C:C(O):C:1,-5.49,-5.377999999999999
246,"1-amino-4-hydroxy-9,10-anthracenedione",NC1:C:C:C(O):C2:C:1C(=O)C1:C:C:C:C:C:1C2=O,-9.53,-10.984000000000002
247,"1,4-diamino-9,10-anthracenedione",NC1:C:C:C(N):C2:C:1C(=O)C1:C:C:C:C:C:1C2=O,-11.85,-15.252
248,nonan-2-one,CCCCCCCC(C)=O,-2.49,-2.563
249,butan-1-amine,CCCCN,-4.24,-2.9610000000000003
250,ethyl butanoate,CCCC(=O)OCC,-2.49,-3.3810000000000002
251,4-methylaniline,CC1:C:C:C(N):C:C:1,-5.57,-5.494
252,1-iodohexane,CCCCCCI,0.08,0.043
253,"1,1,2-trichloro-1,2,2-trifluoro-ethane",FC(F)(Cl)C(F)(Cl)Cl,1.77,1.6909999999999998
254,trimethyl phosphate,COP(=O)(OC)OC,-8.7,-10.642000000000001
255,"1,3-dichlorobenzene",ClC1:C:C:C:C(Cl):C:1,-0.98,-0.11
256,"1,3-dimethylnaphthalene",CC1:C:C(C):C2:C:C:C:C:C:2:C:1,-2.47,-2.995
257,isohexane,CCCC(C)C,2.51,2.8080000000000003
258,chlorpyrifos,CCOP(=S)(OCC)OC1:N:C(Cl):C(Cl):C:C:1Cl,-5.04,-9.625
259,"2-chloro-1,1,1-trifluoro-ethane",FC(F)(F)CCl,0.06,0.233
260,ethylene,C=C,1.28,2.3280000000000003
261,1-iodopentane,CCCCCI,-0.14,-0.111
262,trimethoxymethane,COC(OC)OC,-4.42,-4.625
263,decane,CCCCCCCCCC,3.16,3.335
264,"1,2-dinitroxypropane",C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.95,-5.646
265,prop-1-ene,C=CC,1.32,2.3280000000000003
266,3-methyl-1H-indole,CC1:C:[NH]:C2:C:C:C:C:C:1:2,-5.88,-8.161
267,"(1R)-2,2,2-trichloro-1-dimethoxyphosphoryl-ethanol",COP(=O)(OC)[C@@H](O)C(Cl)(Cl)Cl,-12.74,-13.424000000000001
268,cyclohexane,C1CCCCC1,1.23,1.5030000000000001
269,"(2E)-3,7-dimethylocta-2,6-dien-1-ol",CC(C)=CCC/C(C)=C/CO,-4.45,-2.5180000000000002
270,cumene,CC(C)C1:C:C:C:C:C:1,-0.3,-0.674
271,"2,3,4-trimethylpentane",CC(C)C(C)C(C)C,2.56,2.674
272,3-methylbutan-2-one,CC(=O)C(C)C,-3.24,-3.0780000000000003
273,N-butylbutan-1-amine,CCCCNCCCC,-3.24,-2.076
274,butane-1-thiol,CCCCS,-0.99,-0.174
275,"1,2,3,4-tetrachlorodibenzo-p-dioxin",ClC1:C(Cl):C(Cl):C2:C(:C:1Cl)OC1:C:C:C:C:C:1O2,-3.81,-2.775
276,"2,6-dichlorosyringaldehyde",COC1:C(O):C(OC):C(Cl):C(C=O):C:1Cl,-8.68,-9.846
277,cyclohexanamine,NC1CCCCC1,-4.59,-3.9530000000000003
278,chloro-difluoro-methane,FC(F)Cl,-0.5,-0.067
279,methyl 4-nitrobenzoate,COC(=O)C1:C:C:C([N+](=O)[O-]):C:C:1,-6.88,-6.587999999999999
280,1-(3-pyridyl)ethanone,CC(=O)C1:C:C:C:N:C:1,-8.26,-7.843999999999999
281,prop-1-yne,C#CC,-0.48,0.065
282,nonanal,CCCCCCCCC=O,-2.07,-2.336
283,propionic acid,CCC(=O)O,-6.46,-9.088
284,chloroform,ClC(Cl)Cl,-1.08,0.285
285,"1,2,3-trimethylbenzene",CC1:C:C:C:C(C):C:1C,-1.21,-0.883
286,methane,C,2.0,2.4459999999999997
287,benzyl chloride,ClCC1:C:C:C:C:C:1,-1.93,-1.742
288,methylcyclohexane,CC1CCCCC1,1.7,1.679
289,2-methylthiophene,CC1:C:C:C:S:1,-1.38,-0.3
290,pyridine,C1:C:C:N:C:C:1,-4.69,-3.508
291,1-chlorobutane,CCCCCl,-0.16,0.993
292,"2,5-dimethyltetrahydrofuran",C[C@H]1CC[C@H](C)O1,-2.92,-1.787
293,4-methyl-2-methoxyphenol,COC1:C:C(C):C:C:C:1O,-5.8,-4.547
294,chlordane,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@@H](Cl)C[C@@H](Cl)[C@H]3[C@@]1(Cl)C2(Cl)Cl,-3.44,-3.23
295,toluene,CC1:C:C:C:C:C:1,-0.9,-0.79
296,isobutyl formate,CC(C)COC=O,-2.22,-3.458
297,ethyl paraben,CCOC(=O)C1:C:C:C(O):C:C:1,-9.2,-9.535
298,"1,2-diethoxyethane",CCOCCOCC,-3.54,-3.42
299,pentyl propanoate,CCCCCOC(=O)CC,-2.11,-2.176
300,4-propylphenol,CCCC1:C:C:C(O):C:C:1,-5.21,-5.211
301,2-methylbut-2-ene,CC=C(C)C,1.31,2.272
302,"1,2-dichloroethane",ClCCCl,-1.79,-0.363
303,"3,3-dimethylpentane",CCC(C)(C)CC,2.56,2.593
304,"2,3-dimethylnaphthalene",CC1:C:C2:C:C:C:C:C:2:C:C:1C,-2.78,-2.9530000000000003
305,"2,6-dimethylpyridine",CC1:C:C:C:C(C):N:1,-4.59,-3.443
306,"2,2-dichloro-1,1-difluoro-1-methoxy-ethane",COC(F)(F)C(Cl)Cl,-1.12,-0.685
307,2-ethoxyethyl acetate,CCOCCOC(C)=O,-5.31,-5.751
308,3-methoxyaniline,COC1:C:C:C:C(N):C:1,-7.29,-7.2010000000000005
309,pyridine-3-carbaldehyde,O=CC1:C:C:C:N:C:1,-7.1,-7.425
310,2-methylbutan-2-ol,CCC(C)(C)O,-4.43,-2.9330000000000003
311,alachlor,CCC1:C:C:C:C(CC):C:1N(COC)C(=O)CCl,-8.21,-6.851
312,1-methylpyrrole,CN1:C:C:C:C:1,-2.89,-2.374
313,dimethoxymethane,COCOC,-2.93,-3.221
314,pentan-3-ol,CCC(O)CC,-4.35,-2.786
315,undecan-2-one,CCCCCCCCCC(C)=O,-2.15,-2.201
316,1-bromo-2-chloro-ethane,ClCCBr,-1.95,-0.8
317,iodobenzene,IC1:C:C:C:C:C:1,-1.74,-1.057
318,"3,5,5-trimethylcyclohex-2-en-1-one",CC1=CC(=O)CC(C)(C)C1,-5.18,-4.088
319,iodoethane,CCI,-0.74,-0.609
320,4-propylguaiacol,CCCC1:C:C:C(O):C(OC):C:1,-5.26,-4.127
321,2-bromopropane,CC(C)Br,-0.48,0.44799999999999995
322,1-bromo-4-methyl-benzene,CC1:C:C:C(Br):C:C:1,-1.39,-0.894
