,smiles,FDA_APPROVED,CT_TOX
26,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1,0
27,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1,0
28,O=C[C@H](O)[C@@H](O)[C@H](O)CO,1,0
29,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1,0
30,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1,0
31,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1,0
32,NC(N)=[NH2+],1,0
33,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,1,0
34,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,0
35,O=C([O-])C(O)C(O)C(=O)[O-],1,0
36,O=C([O-])C(S)C(S)C(=O)[O-],1,0
37,O=P([O-])([O-])OCC(Cl)(Cl)Cl,1,0
38,[NH3+]C(CO)(CO)CO,1,0
39,OCC(O)CO,1,0
40,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],1,0
41,OCC(S)CS,1,0
42,FC(F)(F)C(F)(F)C(F)(F)F,1,0
43,FC(F)(F)C(Cl)Br,1,0
44,FC(F)OC(Cl)C(F)(F)F,1,0
45,FC(F)OC(F)C(F)(F)F,1,0
46,FC(F)=C(F)F,1,0
47,[NH3+]CC(=O)[O-],1,0
48,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],1,0
49,FC(F)OC(F)(F)C(F)Cl,1,0
50,O=C([O-])/C=C/C(=O)[O-],1,0
51,NC(N)=[NH+]CCC[C@H]([NH3+])C(=O)[O-],1,0
52,NCC[NH2+]CCNCC[NH2+]CCN,1,0
53,[NH3+]CCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],1,0
54,[NH3+]CCC[NH2+]CCSP(=O)([O-])[O-],1,0
55,[NH3+]CCCC([NH3+])(C(=O)[O-])C(F)F,1,0
56,[NH3+]CCCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],1,0
57,O=C([O-])CCC(=O)[O-],1,0
58,[NH3+]CC(=O)CCC(=O)[O-],1,0
59,O=C([O-])CCCO,1,0
60,NC(=O)CC[C@H]([NH3+])C(=O)[O-],1,0
61,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],1,0
62,[NH3+]CCCCCC(=O)[O-],1,0
63,O=C([O-])CCCCCCCC(=O)[O-],1,0
64,O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],1,0
65,O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-],1,0
66,NCC[NH2+]CCNCC[NH3+],1,0
67,O=C(NCC(O)CO)C1:C(I):C(C(=O)NCC(O)CO):C(I):C(N(CCO)C(=O)CO):C:1I,1,0
68,O=S(=O)([O-])CCS,1,0
69,[NH3+]CCS,1,0
70,O=C([O-])[O-],1,0
71,O=C([O-])P(=O)([O-])[O-],1,0
72,NC(N)=O,1,0
73,NC(=O)NO,1,0
74,FCOC(C(F)(F)F)C(F)(F)F,1,0
75,C/[NH+]=C1/CN([O-])C(C2:C:C:C:C:C:2)=C2:C:C(Cl):C:C:C:2=N1,1,0
76,C/C=C(C(=C/C)/C1:C:C:C(O):C:C:1)\C1:C:C:C(O):C:C:1,1,0
77,C/C=C/C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])C3:C:C:C(O):C:C:3)[C@H]2SC1,1,0
78,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,1,0
79,NC(=[NH2+])NC(=O)C1:N:C(Cl):C(N):N:C:1N,1,0
80,O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12,1,0
81,[NH3+]C[C@H]1O[C@H](O[C@@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]2O)[C@H]([NH3+])C[C@@H]1O,1,0
82,[NH3+]CC[C@H](O)C(=O)N[C@@H]1C[C@H]([NH3+])[C@@H](O[C@H]2O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]1O,1,0
83,OCC[NH+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1,0
84,NC1:N:C:N([C@H]2C[C@H](O)[C@@H](CO)O2):C(=O):N:1,0,1
85,[NH3+]C[C@H]1CC[C@H](C(=O)[O-])CC1,1,0
86,NC(=O)N/C=C1\NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@H]2C[C@H](O)[NH+]=C(N)N2)NC1=O,1,0
87,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H]([NH3+])C12CC3CC(CC(O)(C3)C1)C2,1,0
88,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,1,0
89,[NH3+]C[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]3[NH3+])[C@@H]2O)[C@H]([NH3+])[C@@H](O)[C@@H]1O,1,0
90,[NH3+]C[C@H]1O[C@H](O[C@@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1,0
91,[NH3+]C[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3[NH3+])[C@@H]2O)[C@H]([NH3+])[C@@H](O)[C@@H]1O,1,0
92,O=S(=O)([O-])O[C@H]1[C@H](O)CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H]2OS(=O)(=O)[O-])[C@@H]1OS(=O)(=O)[O-],1,0
93,O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,1,0
94,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],1,0
95,[NH3+][C@@H]1CONC1=O,1,0
96,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,1,0
97,O=C1:[NH]:C:N:C2:C:1:N:C:N:2[C@H]1CC[C@@H](CO)O1,1,0
98,NC1:N:C(=S):C2:[NH]:C:N:C:2:[NH]:1,1,0
99,S=C1:N:C:[NH]:C2:N:C:[NH]:C:1:2,1,0
100,NC1:C:C(N2CCCCC2):N:C(N):[N+]:1[O-],1,0
101,NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC1:C:N:C:[NH]:1)NC(=O)[C@@H]1CCC(=O)N1,1,0
102,[NH3+]CCC1:C:N:C:[NH]:1,1,0
103,NC1:[NH]:C(=O):N:C:C:1F,1,0
104,OC1:C(Cl):C:C(Cl):C(Cl):C:1CC1:C(O):C(Cl):C:C(Cl):C:1Cl,1,0
105,O=C(CCCCC(=O)NC1:C(I):C:C(I):C(C(=O)[O-]):C:1I)NC1:C(I):C:C(I):C(C(=O)[O-]):C:1I,1,0
106,O=C(CCOCCOCCOCCOCCC(=O)NC1:C(I):C:C(I):C(C(=O)[O-]):C:1I)NC1:C(I):C:C(I):C(C(=O)[O-]):C:1I,1,0
107,ClC1:C:C(Cl):C(OCC#CI):C:C:1Cl,1,0
108,[NH3+][C@@H](CC(=O)N1CCN2:C(:N:N:C:2C(F)(F)F)C1)CC1:C:C(F):C(F):C:C:1F,1,0
109,NC1:N:C(=O):N([C@@H]2CS[C@H](CO)O2):C:C:1F,1,0
110,O=C1:[NH]:C:C(F):C(=O):[NH]:1,1,0
111,O=C1:[NH]:C:C(N(CCCl)CCCl):C(=O):[NH]:1,1,0
112,O=C1:[NH]:C(=O):N([C@H]2C[C@H](O)[C@@H](CO)O2):C:C:1C(F)(F)F,1,0
113,O=C1:[NH]:C(=O):N([C@H]2C[C@H](O)[C@@H](CO)O2):C:C:1F,1,0
114,O=C1:[NH]:C(=O):N([C@H]2C[C@H](O)[C@@H](CO)O2):C:C:1I,1,0
115,O=C1:[NH]:C:C(F):C(=O):[NH]:1,0,1
116,NC1:C:C(Cl):C(NC2=[NH+]CCN2):C(Cl):C:1,1,0
117,[NH3+][C@@H](CC1:C:C(I):C(OC2:C:C(I):C([O-]):C(I):C:2):C(I):C:1)C(=O)[O-],1,0
118,[NH3+][C@H](CC1:C:C(I):C(OC2:C:C(I):C([O-]):C(I):C:2):C(I):C:1)C(=O)[O-],1,0
119,N#CC1:C:C(NC(=O)C(=O)[O-]):C(Cl):C(NC(=O)C(=O)[O-]):C:1,1,0
120,O=C(OC[C@H]1O[C@@H](OC(=O)C2:C:C(O):C(O):C(OC(=O)C3:C:C(O):C(O):C(O):C:3):C:2)[C@H](OC(=O)C2:C:C(O):C(O):C(OC(=O)C3:C:C(O):C(O):C(O):C:3):C:2)[C@@H](OC(=O)C2:C:C(O):C(O):C(OC(=O)C3:C:C(O):C(O):C(O):C:3):C:2)[C@@H]1OC(=O)C1:C:C(O):C(O):C(OC(=O)C2:C:C(O):C(O):C(O):C:2):C:1)C1:C:C(O):C(O):C(OC(=O)C2:C:C(O):C(O):C(O):C:2):C:1,1,0
121,NS(=O)(=O)C1:C:C(Cl):C(Cl):C(S(N)(=O)=O):C:1,1,0
122,NC1:N:C(=O):C2:C(:[NH]:1)NCC(CNC1:C:C:C(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]):C:C:1)N2C=O.[Ca+2],0,1
123,NC1:N:C(=O):C2:C(:[NH]:1)NCC(CNC1:C:C:C(C(=O)N[C@@H](CCC(=O)O)C(=O)O):C:C:1)N2C=O,0,1
124,NC(CCSCC1:C:S:C([NH+]=C(N)N):N:1)=NS(N)(=O)=O,1,0
125,NC1:N:C(/C(=C/CC(=O)[O-])C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=CCS[C@H]23):C:S:1,1,0
126,ClCC1CO1,1,0
127,OC1:N:C:N:C2:[NH]:N:C:C:1:2,1,0
128,O=C1OC2(C3:C:C([131I]):C([O-]):C([131I]):C:3OC3:C2:C:C([131I]):C([O-]):C:3[131I])C2:C(Cl):C(Cl):C(Cl):C(Cl):C:21,1,0
129,[NH3+][C@@H]1CCCCN(C2:C(F):C:C3:C(=O):C(C(=O)[O-]):C:N(C4CC4):C:3:C:2Cl)C1,1,0
130,NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)NC(C(Cl)Cl)NS2(=O)=O,1,0
131,NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,1,0
132,NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)NCNS2(=O)=O,1,0
133,O=C([O-])C1:C:N(C2CC2):C2:C:C(N3CC[NH2+]CC3):C(F):C:C:2:C:1=O,1,0
134,[NH3+]C12CC3CC(CC(C3)C1)C2,1,0
135,C1=C/C(=C2\N=C3:C:N:C4:C(:C:3=N2)COCC4)NO1,1,0
136,NC(=O)N/C=C1/NC(=O)[C@H](CNC(=O)C[C@@H]([NH3+])CCC[NH3+])NC(=O)[C@H](CO)NC(=O)[C@@H]([NH3+])CNC(=O)[C@H]([C@H]2CC[NH+]=C(N)N2)NC1=O,1,0
137,NC1:C:C:[NH+]:C:C:1,1,0
138,[NH3+]CCC1:C:C:[NH]:N:1,1,0
139,NC1:C(CC(=O)[O-]):C:C:C:C:1C(=O)C1:C:C:C(Br):C:C:1,1,0
140,NC(N)=[NH+]C(=O)CC1:C(Cl):C:C:C:C:1Cl,1,0
141,NC1:N:N:C(C2:C:C:C:C(Cl):C:2Cl):C(N):N:1,1,0
142,O=C1CCC2:C:C:C(OCCCC[NH+]3CCN(C4:C:C:C:C(Cl):C:4Cl)CC3):C:C:2N1,1,0
143,ClC1:C:C:C:C(Cl):C:1NC1=[NH+]CCN1,1,0
144,ClC1:C:C:C(CCC(CN2:C:C:N:C:2)SC2:C(Cl):C:C:C:C:2Cl):C:C:1,1,0
145,NC(=O)C1:C:N(CC2:C(F):C:C:C:C:2F):N:N:1,1,0
146,O=C1CN2CC3:C(:C:C:C(Cl):C:3Cl)[NH+]=C2N1,1,0
147,BrC1:C(NC2=[NH+]CCN2):C:C:C2:N:C:C:N:C:1:2,1,0
148,ClC1:C:C:C2:N:S:N:C:2:C:1NC1=[NH+]CCN1,1,0
149,O=C([O-])C1:C:C(/N=N/C2:C:C:C(O):C(C(=O)[O-]):C:2):C:C:C:1O,1,0
150,[NH3+]C[C@H](O)C1:C:C:C(O):C(O):C:1,1,0
151,O=C(NC1:C:C:C([N+](=O)[O-]):C:C:1Cl)C1:C:C(Cl):C:C:C:1O,1,0
152,O=C1CCCC(=O)[C-]1C(=O)C1:C:C:C(C(F)(F)F):C:C:1[N+](=O)[O-],1,0
153,O=C(NC1:C(Cl):C:N:C:C:1Cl)C1:C:C:C(OC(F)F):C(OCC2CC2):C:1,1,0
154,O=C([O-])C1:C:C(C2:C:C:C(F):C:C:2F):C:C:C:1O,1,0
155,[NH3+][C@@H](CC1:C:C:C(O):C(O):C:1)C(=O)[O-],1,0
156,[NH3+]CCC1:C:C:C(O):C(O):C:1,1,0
157,ClC1:C:C:C(C(CN2:C:C:N:C:2)OCC2:C:C:S:C:2Cl):C(Cl):C:1,1,0
158,O=C(NS(=O)(=O)C1:C:C:C(Br):S:1)C1:C:C:C(Cl):C:C:1Cl,0,1
159,ClC1:C:C:C(CO/N=C(/CN2:C:C:N:C:2)C2:C:C:C(Cl):C:C:2Cl):C(Cl):C:1,1,0
160,ClC1:C:C:C(COC(CN2:C:C:N:C:2)C2:C:C:C(Cl):C:C:2Cl):C(Cl):C:1,1,0
161,OC1:C:C(Cl):C:C:C:1OC1:C:C:C(Cl):C:C:1Cl,1,0
162,OC(CN1:C:N:C:N:1)(CN1:C:N:C:N:1)C1:C:C:C(F):C:C:1F,1,0
163,[NH3+][C@H]1[C@@H]2CN(C3:N:C4:C(:C:C:3F):C(=O):C(C(=O)[O-]):C:N:4C3:C:C:C(F):C:C:3F)C[C@H]12,1,0
164,NC1:C:C:C(O):C(C(=O)[O-]):C:1,1,0
165,NC1:C:C:C(C(=O)[O-]):C(O):C:1,1,0
166,[NH3+][C@@H](CC1:C:C(I):C(OC2:C:C:C(O):C(I):C:2):C(I):C:1)C(=O)[O-],1,0
167,O=C(NCC1CCCC[NH2+]1)C1:C:C(OCC(F)(F)F):C:C:C:1OCC(F)(F)F,1,0
168,N.N.O=C(O)C1(C(=O)O)CCC1.[Pt],0,1
169,O=C1C2:C([O-]):C:C:C([O-]):C:2C(=O)C2:C(NCC[NH2+]CCO):C:C:C(NCC[NH2+]CCO):C:21,1,0
170,O=C1C2:C(O):C:C:C(O):C:2C(=O)C2:C(NCCNCCO):C:C:C(NCCNCCO):C:21,0,1
171,O=C1CC[C@@]2(O)[C@H]3CC4:C:C:C(O):C5:C:4[C@@]2(CC[NH+]3CC2CC2)[C@H]1O5,1,0
172,OC1:C:C:C2:C3:C:1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)[NH+](CC2CCC2)CC[C@]314,1,0
173,NC(N)=[NH+]CC1:C:C:C:C([131I]):C:1,1,0
174,O=C1[C@H](CC[C@H](O)C2:C:C:C(F):C:C:2)[C@@H](C2:C:C:C(O):C:C:2)N1C1:C:C:C(F):C:C:1,1,0
175,FC1:C:C:C([C@@H]2CC[NH2+]C[C@H]2COC2:C:C:C3:C(:C:2)OCO3):C:C:1,1,0
176,O=C(N[C@H](CO)[C@H](O)C1:C:C:C([N+](=O)[O-]):C:C:1)[C-](Cl)Cl,1,0
177,O=C([O-])CCC(=O)OC[C@@H](NC(=O)[C-](Cl)Cl)[C@H](O)C1:C:C:C([N+](=O)[O-]):C:C:1,1,0
178,N#CC1:C:C:C(C(C2:C:C:C(C#N):C:C:2)N2:C:N:C:N:2):C:C:1,1,1
179,[NH3+]CC(CC(=O)[O-])C1:C:C:C(Cl):C:C:1,1,0
180,O=C(CCC[NH+]1CCC(O)(C2:C:C:C(Cl):C:C:2)CC1)C1:C:C:C(F):C:C:1,1,0
181,NC1:N:C(=O):C2:C(:[NH]:1)NC[C@H](CNC1:C:C:C(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]):C:C:1)N2C=O,1,0
182,NC1:N:C(=O):C2:C(:[NH]:1)NCC(CNC1:C:C:C(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]):C:C:1)N2C=O,1,0
183,NC1:N:C(=O):C2:N:C(CNC3:C:C:C(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]):C:C:3):C:N:C:2:[NH]:1,1,0
184,NC1:C:C:C(C(=O)NCC(=O)[O-]):C:C:1,1,0
185,O=C([O-])CCNC(=O)C1:C:C:C(N/N=C2/C=CC(=O)C(C(=O)[O-])=C2):C:C:1,1,0
186,O=C(C1:C:C:C(OCC[NH+]2CCCCC2):C:C:1)C1:C(C2:C:C:C(O):C:C:2):S:C2:C:C(O):C:C:C:1:2,1,0
187,OC1:C:C:C(C2C[NH2+]CCC3:C2:C:C(O):C(O):C:3Cl):C:C:1,1,0
188,O=C1CN(/N=C/C2:C:C:C(C3:C:C:C([N+](=O)[O-]):C:C:3):O:2)C(=O)N1,1,0
189,[NH3+][C@@H](CC1:C:C:C(N(CCCl)CCCl):C:C:1)C(=O)[O-],1,0
190,[NH3+][C@@H](CC1:C:C:C(O):C:C:1)C(=O)[O-],1,0
191,C1:C:C(C[NH+]2CCCNCC[NH2+]CCCNCC2):C:C:C:1C[NH+]1CCCNCC[NH2+]CCCNCC1,1,0
192,NS(=O)(=O)C1:C:C:C(C[NH3+]):C:C:1,1,0
193,NC1:N:C(=O):C2:C(CCC3:C:C:C(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]):C:C:3):C:[NH]:C:2:[NH]:1,1,0
194,NC1:N:C(=O):C2:C(CCC3:C:C:C(C(=O)N[C@@H](CCC(=O)O)C(=O)O):C:C:3):C:[NH]:C:2:[NH]:1,0,1
195,O=C([O-])CCCC1:C:C:C(N(CCCl)CCCl):C:C:1,1,0
196,OC1:C:C:C(CCCC[NH2+]C[C@H](O)C2:C:C:C(O):C(O):C:2):C:C:1,1,0
197,ClC1:C:C:C(COC(CN2:C:C:N:C:2)C2:C:C:C(Cl):C:C:2Cl):C:C:1,1,0
198,ClC1:C:C:C(CSC(CN2:C:C:N:C:2)C2:C:C:C(Cl):C:C:2Cl):C:C:1,1,0
199,NC1:C:C:C(S(=O)(=O)C2:C:C:C(N):C:C:2):C:C:1,1,0
200,NC1:C:C:C(S(N)(=O)=O):C:C:1,1,0
201,O=C(NC[C@H]1CN(C2:C:C:C(N3CCOCC3=O):C:C:2)C(=O)O1)C1:C:C:C(Cl):S:1,1,0
202,[NH2+]=C(NCCCCCCNC(=[NH2+])NC(=[NH2+])NC1:C:C:C(Cl):C:C:1)NC(=[NH2+])NC1:C:C:C(Cl):C:C:1,1,0
203,O=S([O-])CNC1:C:C:C(S(=O)(=O)C2:C:C:C(NCS(=O)[O-]):C:C:2):C:C:1,1,0
204,OC1:C:C:C(O):C:C:1,1,0
205,NC(=O)OCC(O)COC1:C:C:C(Cl):C:C:1,1,0
206,O=P([O-])([O-])C(SC1:C:C:C(Cl):C:C:1)P(=O)([O-])[O-],1,0
207,O=C([O-])C1:C:C:C:N:C:1,1,0
208,NC(=O)C1:C:C:C:N:C:1,1,0
209,O=P([O-])([O-])C(O)(CC1:C:C:C:N:C:1)P(=O)([O-])[O-],1,0
210,NC1:C:C:C:C2:C:1C(=O)N(C1CCC(=O)NC1=O)C2=O,0,1
211,O=C1CCC(N2C(=O)C3:C:C:C:C:C:3C2=O)C(=O)N1,0,1
212,NC1:C:C:C:C2:C:1CN(C1CCC(=O)NC1=O)C2=O,0,1
213,O=C1CCC2:C:C:C(OCCCCN3CCN(C4:C:C:C:C(Cl):C:4Cl)CC3):C:C:2N1,0,1
214,NS(=O)(=O)C1:C:C(C(=O)[O-]):C(NCC2:C:C:C:O:2):C:C:1Cl,1,0
215,O=C1CN(/N=C/C2:C:C:C([N+](=O)[O-]):O:2)C(=O)N1,1,0
216,O=C1OCCN1/N=C/C1:C:C:C([N+](=O)[O-]):O:1,1,0
217,NC(=O)N/N=C/C1:C:C:C([N+](=O)[O-]):O:1,1,0
218,O=C1O[Pt]OC(=O)C12CCC2,1,0
219,NC1:C:C:C:C2:C:1CN(C1CCC(=O)NC1=O)C2=O,1,0
220,O=C([O-])C1:C:C(=O):C2:C(OCC(O)COC3:C:C:C:C4:O:C(C(=O)[O-]):C:C(=O):C:3:4):C:C:C:C:2:O:1,1,0
221,OC1:C(Cl):C:C(Cl):C2:C:C:C:N:C:1:2,1,0
222,OC1:C(I):C:C(Cl):C2:C:C:C:N:C:1:2,1,0
223,OC(C1:C:C(C(F)(F)F):N:C2:C(C(F)(F)F):C:C:C:C:1:2)C1CCCC[NH2+]1,1,0
224,O=C1C([O-])=C([C@H]2CC[C@H](C3:C:C:C(Cl):C:C:3)CC2)C(=O)C2:C:C:C:C:C:21,1,0
225,N#CC1:C:C:C2:[NH]:C:C(CCCC[NH+]3CCN(C4:C:C:C5:O:C(C(N)=O):C:C:5:C:4)CC3):C:2:C:1,1,0
226,O=C1NC2:C:C:C(Cl):C:C:2[C@@](C#CC2CC2)(C(F)(F)F)O1,1,0
227,O=C1:[NH]:C2:C:C(Cl):C:C:C:2:O:1,1,0
228,OC(C[NH2+]CC(O)C1CCC2:C:C(F):C:C:C:2O1)C1CCC2:C:C(F):C:C:C:2O1,1,0
229,NC1:N:C2:C:C:C(OC(F)(F)F):C:C:2:S:1,1,0
230,O=C1CCC2:C:C(OCCCCC3:N:N:N:N:3C3CCCCC3):C:C:C:2N1,1,0
231,ClC1:C:C:C(C(CN2:C:C:N:C:2)OCC2:C:S:C3:C(Cl):C:C:C:C:2:3):C(Cl):C:1,1,0
232,ClC1:C:C:C2:C(:C:1)CCC1:C:C:C:N:C:1C2=C1CC[NH2+]CC1,1,0
233,O=C1C2:C:C:C:C3:C:2[C@H](CCC3)CN1[C@@H]1C[NH+]2CCC1CC2,1,0
234,OC1:C:C:C:C2:C:C:C:N:C:1:2,1,0
235,N[C@@H]1CCCC[C@H]1[NH3+],1,0
236,ClC1:C:C:C(C(C2:C:C:C:C:C:2Cl)C(Cl)Cl):C:C:1,1,0
237,NC1:N:C(N):C2:N:C(CNC3:C:C:C(C(=O)N[C@@H](CCCNC(=O)C4:C:C:C:C:C:4C(=O)O)C(=O)O):C:C:3):C:N:C:2:N:1,0,1
238,O=C1NC2:C:C:C(Cl):C:C:2C(C2:C:C:C:C:C:2Cl)=NC1O,1,0
239,O=C([O-])C1:C:C:C(N2:N:C(C3:C:C:C:C:C:3O):N:C:2C2:C:C:C:C:C:2O):C:C:1,1,0
240,O=C1CN=C(C2:C:C:C:C:C:2Cl)C2:C:C([N+](=O)[O-]):C:C:C:2N1,1,0
241,FC1:C:C:C:C:C:1C1=NCC(=S)N(CC(F)(F)F)C2:C:C:C(Cl):C:C:21,1,0
242,ClC1:C:C:C:C:C:1C[NH+]1CCC2:S:C:C:C:2C1,1,0
243,O=C([O-])CC1:C:C:C:C:C:1NC1:C(Cl):C:C:C:C:1Cl,1,0
244,[NH3+]CC1:C:C:C:C:C:1CC(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSC3:N:N:N:N:3CC(=O)[O-])CS[C@H]12,1,0
245,[NH3+]CC1(CC(=O)[O-])CCCCC1,1,0
246,NC1:C:C:C(/N=N/C2:C:C:C:C:C:2):C(N):N:1,1,0
247,O=C([O-])C1=C(CSC2:N:N:N:N:2CS(=O)(=O)[O-])CS[C@@H]2[C@H](NC(=O)[C@H](O)C3:C:C:C:C:C:3)C(=O)N12,1,0
248,[NH3+][C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Cl)CC[C@H]12)C1:C:C:C:C:C:1,1,0
249,O=C([O-])COCC[NH+]1CCN([C@H](C2:C:C:C:C:C:2)C2:C:C:C(Cl):C:C:2)CC1,1,0
250,O=C(O[C@H]1C[NH+]2CCC1CC2)N1CCC2:C:C:C:C:C:2[C@@H]1C1:C:C:C:C:C:1,1,0
251,C1:C:C:C([C@H]2CN3CCSC3=[NH+]2):C:C:1,1,0
