,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX22632,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C1:C:C(Cl):C:C(Cl):C:1)C2
25,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,TOX22633,CN(C)CCCN1C2:C:C:C:C:C:2CCC2:C:C:C(Cl):C:C:21
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1883,C#CCO
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX4463,NC1:C:C:C:C:C:1S(=O)(=O)O
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1885,CC(O)CC(C)(C)O
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1886,CC(C)(C)CC(C)(C)N
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1889,CC(=O)CC(C)C
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1888,CCCC(C)=O
32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4465,NC1:N:C2:C:C:C:C:C:2:[NH]:1
33,0.0,,1.0,,,0.0,,1.0,0.0,0.0,1.0,1.0,TOX1106,OC1:C(Cl):C(Cl):C(Cl):C(Cl):C:1Cl
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX161,C1:C:C:C(C2:C:C:C:C:C:2):C:C:1
35,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,TOX22180,CNC(=O)NC1:C:C:C(Cl):C(Cl):C:1
36,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,TOX22181,CC(=O)NC1:C:C:C(C):C(Cl):C:1
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX22187,CCCCNC(=S)NCCCC
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX22188,CCCCNC(=O)NCCCC
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX22189,CC(C)N(C1:C:C:C:C:C:1)C(C)C
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX7876,CCC1:C:C:C:C(C):C:1
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX7877,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)OC1:C:C:C:C:C:1
42,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX7875,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX7870,CCCCCCCCCCC=CC1CC(=O)OC1=O
44,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,,TOX4110,CC(C)C(NC1:C:C:C(C(F)(F)F):C:C:1Cl)C(=O)OC(C#N)C1:C:C:C:C(OC2:C:C:C:C:C:2):C:1
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4112,CS(=O)(=O)NC(=O)C1:C:C(OC2:C:C:C(C(F)(F)F):C:C:2Cl):C:C:C:1[N+](=O)[O-]
46,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4113,CCOP(=S)(CC)SC1:C:C:C:C:C:1
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27698,CC/C=C\CCCCO
48,,0.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,TOX27695,NC1:C:C:C:C:C:1C(=O)OC1:C:C:C2:C:C:C:C:C:2:C:1
49,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX24280,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)C1:C:C:N:C2:C:C:C(OC):C:C:1:2
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX10138,CC(=O)CCC(C)=O
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX21464,N#CCCNCCC#N
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,TOX21728,CCOC1:C:C:C(N=NC2:C:C:C(C=CC3:C:C:C(N=NC4:C:C:C(OCC):C:C:4):C:C:3S(=O)(=O)[O-]):C(S(=O)(=O)[O-]):C:2):C:C:1
53,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,TOX21721,O=C1C2:C:C:C:C:C:2C(=O)C1C1:C:C:C2:C:C(S(=O)(=O)[O-]):C:C(S(=O)(=O)[O-]):C:2:N:1
54,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,0.0,TOX21726,O=C(NC1:C:C:C2:C(O):C(N=NC3:C:C:C(N=NC4:C:C:C(S(=O)(=O)[O-]):C:C:4):C:C:3):C(S(=O)(=O)[O-]):C:C:2:C:1)C1:C:C:C:C:C:1
55,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,TOX24000,CSC1:C:C:C2:C(:C:1)C(N1CCN(C)CC1)CC1:C:C:C:C:C:1S2
56,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,TOX24002,COCCCC/C(=N\OCCN)C1:C:C:C(C(F)(F)F):C:C:1
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27071,CC1:C:C:C:C:C:1CCO
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27070,CC1:N:C(C):C(C):N:C:1C
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27072,CC1=CC(O)CC(C)(C)C1
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27075,CC1:C:N:C(C):C(C):N:1
61,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27074,CC(C)COC(=O)C1:C:C:C:C:C:1
62,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27078,C=C(C)[C@@H]1CC=C(C)CC1
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX19719,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2]
64,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,,TOX957,NC1:C:C:C(N):C([N+](=O)[O-]):C:1
65,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24915,CC1COC2:C:C:C:C:C:2N1
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24914,O=C(O)C1:C:C(Cl):C:C(Cl):C:1O
67,0.0,,0.0,,,,,,0.0,,,,TOX24913,CCCCCCCCCCCC(=O)NCCCN(C)C
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX24911,CC(C)CCCCCOC(=O)CCS
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX956,O=[N+]([O-])C1:C:C([As](=O)(O)O):C:C:C:1O
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TOX24919,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24918,C=CCOC1:C(Br):C:C(Br):C:C:1Br
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX9739,F[B-](F)(F)F.[H+]
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX9733,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O
74,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,TOX6050,C(=C/C1:C:C:C:C:C:1)\C1:C:C:C:C:C:1
75,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,TOX5649,CC1:C:C:C2:C(:C:C:C3:C:C:C:C:C:3:2):C:1
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX2968,CN1:C(=O):C2:C(:N:C:N:2CC2OCCO2):N(C):C:1=O
77,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,TOX2967,C[C@H]1O[C@@H](N2:C:C(F):C(=O):[NH]:C:2=O)[C@H](O)[C@@H]1O
78,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,,,0.0,TOX2614,CN1CCC2:C:C:C:C3:C:2[C@H]1CC1:C:C:C(O):C(O):C:13
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX2617,COC(=O)C1=CCCN(C)C1
80,,,,,,,,0.0,,0.0,,,TOX2611,COC1:C:C:C(C2C(=O)C3:C:C:C:C:C:3C2=O):C:C:1
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX5642,CC1:C:C:C(C(=O)O):C:C:1[N+](=O)[O-]
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX5641,CC1:C:C(C(=O)O):C:C:C:1[N+](=O)[O-]
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX2612,CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27158,CCCCCC(C)O
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX1708,O=C([O-])C1:C:C:C:C:C:1O
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1709,NC(=O)C1:C:C:C:C:C:1
87,,,,,,,,0.0,,0.0,,,TOX25756,CCN1CCC2:N:C(N):O:C:2CC1
88,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,TOX25757,CC(C)(C)[C@]1(O)CCN2C[C@H]3C4:C:C:C:C:C:4CCC4:C:C:C:C(:C:43)[C@@H]2C1
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX9559,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO
90,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX25755,O=C1:[NH]:C(=O):N([C@H]2C[C@H](O)[C@@H](CO)O2):C:C:1/C=C/Br
91,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,TOX25752,OCCN1CCN(CCCN2C3:C:C:C:C:C:3C=CC3:C:C:C:C:C:32)CC1
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25753,CC(C)NC[C@@H](O)COC1:C:C:C(CC(N)=O):C:C:1
93,0.0,,0.0,,,0.0,,1.0,0.0,0.0,0.0,0.0,TOX25750,CCNC(=O)N1CCN(CCCC(C2:C:C:C(F):C:C:2)C2:C:C:C(F):C:C:2)CC1
94,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.0,TOX958,NC1:C:C:C([N+](=O)[O-]):C:C:1N
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX14836,[I-].[K+]
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4786,O=C(C=CC1:C:C:C(O):C(O):C:1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O
97,0.0,,1.0,,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,TOX18317,OC1:N:C(Cl):C(Cl):C:C:1Cl
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX5391,C/C=C/C=C/C=O
99,1.0,,0.0,,,0.0,,1.0,0.0,0.0,,0.0,TOX4781,O=[N+]([O-])C1:C:C(C(F)(F)F):C:C([N+](=O)[O-]):C:1Cl
100,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX5395,C[Si](C)(C)N[Si](C)(C)C
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX4783,C=CC(=O)OCCCl
102,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0,TOX12376,COCC(C)N(C(=O)CCl)C1:C(C):C:S:C:1C
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX25538,CN(C)CCN1:N:N:N:C:1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC3:C:S:C(N):N:3)[C@H]2SC1
104,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX12375,C/C(=N\NC(=O)NC1:C:C(F):C:C(F):C:1)C1:N:C:C:C:C:1C(=O)[O-]
105,0.0,0.0,0.0,,,,,1.0,,0.0,,,TOX12372,CC1COC(CN2:C:N:C:N:2)(C2:C:C:C(OC3:C:C:C(Cl):C:C:3):C:C:2Cl)O1
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25533,CCN(CC)CCOC(=O)C(CC1:C:C:C:C2:C:C:C:C:C:1:2)CC1CCCO1
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25530,CCN[C@H]1C[C@H](C)S(=O)(=O)C2:S:C(S(N)(=O)=O):C:C:21
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25531,CCN[C@H]1CN(CCCOC)S(=O)(=O)C2:S:C(S(N)(=O)=O):C:C:21
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25536,CC(C)N(CCC(C(N)=O)(C1:C:C:C:C:C:1)C1:C:C:C:C:N:1)C(C)C
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,TOX25537,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)C5:C:C:C:C:C:5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O
111,1.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,TOX25534,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
112,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX12379,CSC(=O)C1:C(C(F)F):N:C(C(F)(F)F):C(C(=O)SC):C:1CC(C)C
113,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX28632,O=C(O)/C=C(\CC(=O)O)C(=O)O
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX28633,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1
115,,,,,,,,0.0,,0.0,,,TOX28630,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO
116,0.0,0.0,0.0,,,0.0,,1.0,0.0,,,1.0,TOX14792,CC1=C(C(=O)NC2:C:C:C:C:C:2)S(=O)(=O)CCO1
117,,,,,,,,0.0,,0.0,,,TOX28636,CNCC(=O)C1:C:C:C(O):C(O):C:1
118,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX24394,CC(C)(C)C1CCC(=O)CC1
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX3568,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)C4:C(O):C:C:C:C:4[C@@](C)(O)C3C[C@@H]12
120,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,TOX28634,CN1CCN=C(C2:C:C:C:C:C:2)C2:C:C(Cl):C:C:C:21
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX3565,CN(C)CCC1:C:[NH]:C2:C:C:C(CN3:C:N:C:N:3):C:C:1:2
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX28635,CCCCC(=O)[O-]
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX7019,CCCCCCCCCCCCCC(=O)OC
124,,,,,,,,0.0,,0.0,,,TOX26715,NC1:C:C:N:C:C:1N
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX7014,CCCCCCC(C)O
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX22494,CCC[Si](OC)(OC)OC
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27088,CC1=C(CC=O)C(C)(C)CCC1
128,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX3702,NCCNCCNCCN
129,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,TOX3706,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O
130,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX4280,CCCC1COC(CN2:C:N:C:N:2)(C2:C:C:C(Cl):C:C:2Cl)O1
131,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,0.0,TOX4930,CC1:C:C:C(N):C(N):C:1
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4931,CCCCCNCCCCC
133,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4284,COCC(C)O
134,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TOX4937,C1:C:C:C2:C(:C:1)OC1:C:C:C:C:C:1S2
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4286,CC1CN1
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4287,CCC1:C:N:C(C2=NC(C)(C(C)C)C(=O)N2):C(C(=O)O):C:1
137,,,,,,,,,,0.0,,,TOX25914,NCC(=O)CCC(=O)O
138,0.0,,,1.0,0.0,,0.0,,0.0,1.0,0.0,,TOX25447,ClC1:C:C:C(C(CN2:C:C:N:C:2)OCC2:C(Cl):C:C:C:C:2Cl):C(Cl):C:1
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TOX175,ClC1:C:N:C(OC2:C:C:C(OC3:N:C:C(Cl):C:C:3Cl):C:C:2):C(Cl):C:1
140,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TOX25916,COC1:C:C:C:C:C:1OCCNCC(O)COC1:C:C:C:C2:[NH]:C3:C:C:C:C:C:3:C:1:2
141,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX173,ClCOCCl
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX179,CC(O)CNCC(C)O
143,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX13979,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O
144,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX17262,CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX25007,O=[N+]([O-])C1:C:C:C([As](=O)(O)O):C:C:1
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX5886,CCOC(=O)C1OC1C1:C:C:C:C:C:1
147,0.0,0.0,1.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,TOX5889,ONC1:C:C:C:C:C:1
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,TOX5888,O=CC(=O)C1:C:C:C:C:C:1
149,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,TOX21803,[Cu]I
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX21530,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-]
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,TOX25005,ClCC1:C:C:C(Cl):C:C:1Cl
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX6867,O=C(O)CCCCCCCCC(=O)O
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX6864,CCCCCCCC(=O)OC
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX6863,CC(O)COCC(C)O
155,,,,,,,,0.0,,0.0,,,TOX31626,CC1:C:C:C(C(=O)C(=O)[O-]):C:C:1C
156,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX26644,O=C([O-])COC1:N:N(CC2:C:C:C:C:C:2):C2:C:C:C:C:C:1:2
157,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX2107,CC1:N:C:C:[NH]:1
