,CMPD_CHEMBLID,exp,smiles
35,CHEMBL1557436,3.62,CN(C)C1:C:C:N:C2:S:C(C(=O)NCC3:C:C:C:C:C:3):C(N):C:1:2
36,CHEMBL2031236,2.06,CC1:C:C:C(NC(=O)C2:C:S:C:N:2):C:C:1N1:C:N:C2:C:C:C(N3CCN(C)CC3):C:C:2:C:1=O
37,CHEMBL2087849,4.33,CN1:C:N:C:C:1C1:C2:C(=O):N(CC3CC3):C(=O):N(CC3CC3):C:2:N:N:1CC1:C:C:N:C2:C:C:C(Cl):C:C:1:2
38,CHEMBL1235773,2.55,COC1:C:C:C2:N:C:C(C#N):C(CCN3CCC(NCC4:C:C5:C(:C:N:4)OCS5)CC3):C:2:C:1
39,CHEMBL339051,2.78,CNC(=O)C1(N2CCCCC2=O)CCN(CC[C@H](CN(C)C(=O)C2:C(OC):C(C#N):C:C3:C:C:C:C:C:2:3)C2:C:C:C(Cl):C(Cl):C:2)CC1
40,CHEMBL168899,1.4,O=C1NC2:C:C:C:C:C:2B(O)N1C1:C:C:C:C:C:1
41,CHEMBL517,-0.54,CC(C)N(CCC(C(N)=O)(C1:C:C:C:C:C:1)C1:C:C:C:C:N:1)C(C)C
42,CHEMBL578288,2.91,N#CN=C(N)C1:S:C(NC2:C:C:C:C:C:2):N:C:1N
43,CHEMBL1778648,-0.4,CCS(=O)(=O)C1:C:C:C(C2:C:C(C(F)(F)F):C:C:C:2O[C@H](C)C(=O)O):C(C):C:1
44,CHEMBL1778635,-0.16,N#CC1:C:C:C(F):C(C2:C:C(C(F)(F)F):C:C:C:2OCC(=O)O):C:1
45,CHEMBL1234354,2.2,COC1:C:C:C(C2:C:C3:C(C):N:C(N):N:C:3:N([C@H]3CC[C@H](OCCO)CC3):C:2=O):C:N:1
46,CHEMBL1550278,3.4,CC(NC1:N:C:N:C2:C:C:C:C:C:1:2)C1:C:C:C:C:C:1
47,CHEMBL1096,1.1,CC(C)C1:C:C:C2:O:C3:N:C(N):C(C(=O)O):C:C:3:C(=O):C:2:C:1
48,CHEMBL1807822,2.28,O=C1:[NH]:C2:C(O):C:C:C([C@@H](O)CNCCCOCCOCCC3:C:C:C:C4:C:C:C:C:C:3:4):C:2:S:1
49,CHEMBL1310086,3.47,COC1:C:C:C:C:C:1CN1:C(C):N:C2:C:C:C:C:C:2:1
50,CHEMBL373364,3.0,O=C(O)C1:C:C:C(NC(=O)C2:C:C(OCC3:C:C:C:C:C:3F):C:C(OCC3:C:C:C:C:C:3F):C:2):N:C:1
51,CHEMBL484901,-1.17,NC(CC1:C:[NH]:C2:C:C:C:C:C:1:2)C(=O)O
52,CHEMBL1233652,1.95,O=C(O)CCC[C@@H]1C2:C:C:C:C:C:2C[C@H]1NC(=O)C1:C:C2:C:C(F):C:C:C:2:[NH]:1
53,CHEMBL2059196,-0.99,CCNC(=O)C1:C:C2:C(N3:C:C:C(C(F)(F)F):N:3):C(C3:C:N:C:C(C(=O)O):C:3):C:N:C:2:[NH]:1
54,CHEMBL1934414,2.0,CC1:C:C:C(S(=O)(=O)NC2:C(C(=O)N[C@@H](C)C(C)(C)C):C(C):N:N:2C2CCCC2):C:C:1
55,CHEMBL1415894,3.8,C1:C:C:C(NC2:C:C(NC3:C:C:C:C:C:3):[NH]:N:2):C:C:1
56,CHEMBL2335875,3.21,COCCNC(=O)C1:C:C:C:C(NC2:N:C:C3:C:C(C4:C:C:N:C:C:4):C:C:C:3:N:2):C:1
57,CHEMBL1916269,0.36,CCC(CC)NC(=O)C1:C:N:N(C):C:1NS(=O)(=O)C1:C:C:C(C):C:C:1
58,CHEMBL1224139,2.14,NC(=O)C1:C:C(F):C:C(O[C@@H]2C[C@@H]3CC[C@H](C2)N3CC2:C:C:C:C:C:2):C:1
59,CHEMBL1082812,1.71,N#CC1:C(C2:C:C:C:C:C:2):N:C(SCCC2:C:C:C:C:C:2):[NH]:C:1=O
60,CHEMBL12980,1.19,O=C(OC1CN2CCC1CC2)C(O)(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1
61,CHEMBL1412343,2.7,CC1:C:C:C:C:C:1NC(=O)CCS(=O)(=O)C1:C:C:C(Br):S:1
62,CHEMBL453862,2.77,CC1:N:C:C(C2:N:C(NC3:C:C:C(C(=O)N(C)C):C:C:3):N:C:C:2F):N:1C(C)C
63,CHEMBL296572,3.8,COC1:C:C:C:C(C2:C:[NH]:C(C3:C:C:C:C:C:3):N:2):C:1
64,CHEMBL239513,2.87,O=C(COC1:C:C:C:C:C:1)C1:C:C:C:C:C:1
65,CHEMBL479445,1.91,COC1:C:C2:N:C:C(C(N)=O):C(NC3:C:C:C(F):C:C:3F):C:2:C:C:1NCCN(C)C
66,CHEMBL2152917,3.4,CO[C@H]1CC[C@]2(CC1)CC1:C:C:C(OCC(C)C):C:C:1C21N=C(C)C(N)=N1
67,CHEMBL299672,3.13,COC1:C:C2:N:C:N:C(NC3:C:C:C(F):C(Cl):C:3):C:2:C:C:1OCCCN1CCCC1
68,CHEMBL1682820,3.0,O=C1CCOC2:C:C(COC3:C:C:C:C:C:3):C:C:C:21
69,CHEMBL247367,2.33,ClC1:C:C:C:C2:C:N:[NH]:C:1:2
70,CHEMBL2010834,2.8,CNC(=O)C1:C:C:C(CC(=O)N(C)C2CCN(CC3:C:C:C(C(F)(F)F):C:C:3)CC2):C:C:1
71,CHEMBL1945293,-0.54,COCCNCC1:C:C:C(CCNC[C@H](O)C2:C:C:C(O):C3:[NH]:C(=O):S:C:2:3):C:C:1
72,CHEMBL1652588,3.16,C#CCN1:C(=O):C2:C(C3:C:N:C:N:3C):N(CC3:C:C:N:C4:C:C:C(Cl):C:C:3:4):N:C:2:N(CC2CC2):C:1=O
73,CHEMBL190812,2.91,C[C@H](NC(=O)C1:C:C:C:N:C:1OC1:C:C:C:C:C:1)C1:C:C:C:C:C:1
74,CHEMBL235392,1.55,O=C(NCC12CC3CC(CC(C3)C1)C2)C1:C:C(CN2CC3CNCC(C2)O3):C:C:C:1Cl
75,CHEMBL62193,0.2,COC1:C:C(NS(=O)(=O)C2:C:C:C(N):C:C:2):N:C(OC):N:1
76,CHEMBL1784338,1.43,CC1:C:C(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2):C(C):C:N:1
77,CHEMBL1650698,2.47,C[C@H](NC1:N:C:C(F):C(NC2:C:C(C3CC3):[NH]:N:2):N:1)C1:N:C:C(F):C:N:1
78,CHEMBL2062583,2.48,CC(=O)NC1:C:C:C2:C(:C:1):C(C1:C:C(NC3CC3):N3:N:C:C(C#N):C:3:N:1):C:N:2CCCO
79,CHEMBL4,-0.45,CC1COC2:C(N3CCN(C)CC3):C(F):C:C3:C(=O):C(C(=O)O):C:N1:C:2:3
80,CHEMBL2158534,2.0,CC1(C2:N:C(N3CCOCC3):N:C:C:2C(=O)NC2C3CC4CC2CC(O)(C4)C3)CC1
81,CHEMBL492234,2.6,COC(=O)C1:C:C:C(C):C(NS(=O)(=O)C2:C:C:C3:C(:C:2):C(=O):S:N:3C):C:1
82,CHEMBL131921,3.5,COC1:C:C:C(C2:C:O:C3:C:C(O):C:C(O):C:3:C:2=O):C:C:1
83,CHEMBL21731,0.89,CNCCCC12CCC(C3:C:C:C:C:C:31)C1:C:C:C:C:C:12
84,CHEMBL346528,1.3,OC1:C:C(C2:C:C:C:C:C:2):N:C2:C:C:N:N:1:2
85,CHEMBL133501,2.01,O=CN1CC=C(C2:C(F):C:C(N3C[C@H](COC4:C:C:O:N:4)OC3=O):C:C:2F)CC1
86,CHEMBL2087854,3.59,C#CC(C)N1:C(=O):C2:C(C3:C:N:C:N:3C):N(CC3:C:C:N:C4:C:C:C(Cl):C:C:3:4):N:C:2:N(CC2CC2):C:1=O
87,CHEMBL1689126,0.18,C[C@H]1CN(CC2:C:C(Cl):C:C:C:2OCC(=O)O)CCN1C(=O)CC1:C:C:C:C:C:1
88,CHEMBL1650728,2.6,COC1:C:C(NC2:N:C(N[C@@H](C)C3:N:C:C(F):C:N:3):N:C:C:2Br):N:[NH]:1
89,CHEMBL2178942,1.3,CC1:N:C(C):C(C2:C:C:C([C@H]3CC[C@H](CC(=O)O)CC3):C(F):C:2):N:C:1C(N)=O
90,CHEMBL1800528,2.1,COC1:C:C:N:C(CCC2:N:C3:C(C):C:C:N:C:3:[NH]:2):C:1
91,CHEMBL143305,3.72,CC1:C:C(CCCOC2:C(Cl):C:C(C3=NCCO3):C:C:2Cl):O:N:1
92,CHEMBL2326481,1.72,CN(C)C(=O)C1:C:C:C(CN2CCC3:C:C4:N:C(N):S:C:4:C:C:3CC2):C:C:1
93,CHEMBL15245,1.65,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCC4:C(:[NH]:C5:C:C:C:C:C:4:5)[C@@H]3C[C@@H]21
94,CHEMBL1852688,3.7,CCN1CCN(C2:C:C:C(NC3:C:C(N(C)C(=O)NC4:C(Cl):C(OC):C:C(OC):C:4Cl):N:C:N:3):C:C:2)CC1
95,CHEMBL2171169,2.2,CC(C)N(CCCNC(=O)NC1:C:C:C(C(C)(C)C):C:C:1)C[C@H]1O[C@@H](N2:C:N:C3:C(N):N:C:N:C:3:2)[C@H](O)[C@@H]1O
96,CHEMBL2216830,2.04,C=CC(=O)NC1:C:C:C:C(CN2C(=O)N(C3:C(Cl):C(OC):C:C(OC):C:3Cl)CC3:C:N:C(NCCCCN(CC)CC):N:C:32):C:1
97,CHEMBL381098,4.49,CCSC1:C(CC2:C:C:C:C:C:2C(F)(F)F):S:C2:C:1:C(=O):N(C):C(=O):N:2CC(C)C
98,CHEMBL284275,0.2,COC1:C:C:C(CC2:C(N):N:[NH]:C:2N):C:C:1
99,CHEMBL2177167,2.0,CCN(CCN(C)C)S(=O)(=O)C1:C:C:C(C2:C:N:C(N):C(C(=O)NC3:C:C:C:N:C:3):N:2):C:C:1
100,CHEMBL2331746,1.49,CC1:C:N([C@H]2CCCN(S(=O)(=O)C3:C:C:C(O):C(OC4:C:C:C:C:C:4):C:3)C2):C(=O):[NH]:C:1=O
101,CHEMBL1712280,4.28,C1:C:C:C(N2CC3COC4:C:C:C:C:C:4C3=N2):C:C:1
102,CHEMBL1790041,-0.95,CNC(=C[N+](=O)[O-])NCCSCC1:C:C:C(CN(C)C):O:1
103,CHEMBL1184060,1.64,CC(C)CC(C1:C:C:N:C:C:1)N1:[NH]:C(=O):C2:N:C3:C:C(Cl):C:C:C:3:C(O):C:2:C:1=O
104,CHEMBL1502799,2.02,FC(F)C1:N:C2:C:C:C:C:C:2:[NH]:1
105,CHEMBL2208436,3.09,N#CC1:C:C:C:C(OC[C@@H](O)CNC2CCN(CC3:C:C:C(Cl):C(Cl):C:3)CC2):C:1
106,CHEMBL480445,2.18,COC1:C:C2:N:C:C(C(N)=O):C(NC3:C:C:C(F):C:C:3F):C:2:C:C:1N1CCN(C)CC1
107,CHEMBL1392670,4.4,O=C(OC1:C:C:C:C:C:1O)C1:C:C:C:C2:C:C:C:C:C:1:2
108,CHEMBL1455477,3.28,COC1:C:C:C:C:C:1CNC1:C:C(C):C:C:N:1
109,CHEMBL1939414,3.04,NC1:N:C(NC2:C:C:C:C(Br):C:2):C2:N:C:[NH]:C:2:N:1
110,CHEMBL1617016,3.12,NC1:C2:C(:N:C3:C:C:C(Br):C:C:1:3)N(C1:C:C:C:C:C:1)CC2
111,CHEMBL2207600,0.06,COC1:C:C(OC):C(S(=O)(=O)N(C2:C:C:C(C):C:C:2)C2:C:C:C(C):C:C:2):C:C:1NC(=O)CCC(=O)O
112,CHEMBL244213,2.49,O=C(C1:C:C:C(F):C:C:1)C(O)C1:C:C:C(F):C:C:1
113,CHEMBL404957,1.11,CC(C)C[C@H](N)C1:N:N:C(S(=O)(=O)CC2:C:C:C(F):C:C:2):O:1
114,CHEMBL520252,2.81,CC1:C:C:C(NC(=O)C2:C:C:C:C(OCC(C)C):C:2):C:C:1C(=O)NC1:C:C:C:N:C:1
115,CHEMBL190747,3.52,COC1:C:C:C(OC):C(CNC(=O)C2:C:C:C:N:C:2OC2:C:C:C:C:C:2):C:1
116,CHEMBL1079175,2.5,NC1(C2:C:C:C(C3:N:C4:C:C:N5:C(=O):[NH]:N:C:5:C:4:C:C:3C3:C:C:C:C:C:3):C:C:2)CCC1
117,CHEMBL1499868,4.48,CC(C1:C:C:C:C:C:1)C(CC1:N:C2:C:C:C:C:C:2:[NH]:1)C1:N:C2:C:C:C:C:C:2:[NH]:1
118,CHEMBL1824042,1.33,O=C1COC2:C:C:C(CNC3CCN(CCN4C(=O)COC5:C:C:C(Cl):C:C:54)CC3):N:C:2N1
119,CHEMBL2158827,1.83,O=C(O)CC1:C:C:C(N2CCC(CN3CCC(OC4:C:C:C(Cl):C(Cl):C:4)CC3)CC2):C:C:1
120,CHEMBL520925,3.6,COC1:C:C2:N:C:C(C(N)=O):C(NC3:C:C:C:C(Cl):C:3F):C:2:C:C:1OC
121,CHEMBL181502,3.2,CN(C(=O)C1CCC1)C1CCN(CCC(C2:C:C:C:C:C:2)C2:C:C:C:C:C:2)CC1
122,CHEMBL1962631,-0.56,N=C(N)NC(=O)C1:N:C(Cl):C(NCC2:C:C:C:C:N:2):N:C:1N
123,CHEMBL470915,3.53,N#CC1:N:C(NC2CC3CCC2C3):C(N):C(N2CCOCC2):N:1
124,CHEMBL1163803,4.3,CCN(C(=O)NCC1:C(F):C:C:C:C:1F)C1CCN(CCC(C2:C:C:C:C:C:2)C2:C:C:C:C:C:2)CC1
125,CHEMBL598194,2.88,NC1(C(=O)NCC2:C:C:C(Cl):C:C:2)CCN(C2:N:C:N:C3:[NH]:C:C:C:2:3)CC1
126,CHEMBL42,3.08,CN1CCN(C2=NC3:C:C(Cl):C:C:C:3NC3:C:C:C:C:C:32)CC1
127,CHEMBL2178954,1.0,CC1:N:C:C(C2:C:C:C([C@H]3CC[C@H](CC(=O)O)CC3):C:C:2):N:C:1C(N)=O
128,CHEMBL373250,2.4,CN1:N:C:N:C:1COC1:N:N2:C(C3:C:C(F):C:C:C:3F):N:N:C:2:C:C:1C(C)(C)C
129,CHEMBL1169388,1.89,CNCC[C@H](OC1:C:C:C(C(F)(F)F):C:C:1)C1:C:C:C:C:C:1
130,CHEMBL2171046,1.52,CC1:C:C:C(S(=O)(=O)NC(=O)N2CCC(N3CCC(OC4:C:C:C(Cl):C:C:4Cl)CC3)CC2):C:C:1
131,CHEMBL144960,3.33,O=C1:C:C:O:C2:C:C(OCC3:C:C:C:C:C:3):C:C:C:1:2
132,CHEMBL271023,0.79,[O-][S+](C1:C:C:C:C:C:1)C1:C:C:C2:N:N:N:N:2:N:1
133,CHEMBL90531,3.2,O=[N+]([O-])C1:C:C:C2:C(:C:1)N(C1:C:C:C:C:[N+]:1[O-])CC(C(F)F)(C(F)F)O2
134,CHEMBL645,0.1,CC(C)NCC(O)COC1:C:C:C(COCCOC(C)C):C:C:1
135,CHEMBL2178950,0.22,CC1:N:C:C(C(N)=O):N:C:1C1:C:C:C([C@H]2CC[C@H](C(=O)O)CC2):C:C:1
136,CHEMBL2178393,2.0,NC1:N:N:C(CCSCCC2:N:N:C(NC(=O)CC3:C:C:C:C:C:3):S:2):S:1
137,CHEMBL1809049,4.0,COC1:C:C(OC2CCN(C(C)=O)CC2):C:C:C:1NC1:N:C:C(Cl):C(C2:C:N:C3:C:C:C:C:N:2:3):N:1
138,CHEMBL1373079,2.71,COC1:C:C:C(C2:C:C(=O):C3:C:C:C:C:C:3:[NH]:2):C:C:1
139,CHEMBL74380,0.7,COC1/C=C/OC2(C)OC3:C(C):C(O):C4:C(:C:3C2=O)C(=O)C=C(NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O
140,CHEMBL257600,3.67,CN1:C:C(C#N):C:C:1C1:C2:C(=O):N(C):C(=O):N(CC3CC3):C:2:N:N:1CC1:C:C:N:C2:C:C:C(Cl):C:C:1:2
141,CHEMBL1362558,0.87,CN1:S:C(NC(=O)C2:C:C:C:C(Cl):C:2):N:C:1=O
142,CHEMBL2059861,2.83,CC1:C:C:C(C2:N:C:C:N:2C):C:C:1NC(=O)C1:C:C:C(OCC2:C:C:C:C:N:2):C:C:1
143,CHEMBL235191,0.82,CC(=O)NC1:C:C:C(C(=O)NC2:C:C:C:C:C:2N):C:C:1
144,CHEMBL197536,1.0,O=C1:C:C(N2CCOCC2):O:C2:C:C(O):C:C:C:1:2
145,CHEMBL1086580,3.07,OC1:N:C(C2:C:C:C(C(F)(F)F):C:C:2):N:C2:C:1CSCC2
146,CHEMBL1290331,3.07,O=C(COCC1:C:S:C:N:1)N1CCN(C2:C:C:C(Cl):C:C:2Cl)CC1
147,CHEMBL203370,1.6,O=C1:C2:C:C:C(O):C:C:2:N:C:N:1C1:C:C:C(O):C:C:1
148,CHEMBL1945035,1.58,O=C1:[NH]:C2:C(O):C:C:C([C@@H](O)CNCCC3:C:C:C:C:C:3CNCCC3:C:C:C:C:C:3F):C:2:S:1
149,CHEMBL551360,2.62,O=C(CC12CC3CC(CC(C3)C1)C2)NC1:C:C:C:C2:C(=O):N(C(CO)CO):C:C:C:1:2
150,CHEMBL1783284,3.37,COC1:C:C:C(C2:C(F):C:C:C3:C(N):C(C(=O)NC4CC4):N:N:C:2:3):C(OC):N:1
151,CHEMBL1909734,2.68,ClC1:C:C:C:C:C:1C1:C:N:N:[NH]:1
152,CHEMBL1481866,1.7,NC(=O)C1:C:C:C(OC2:C:C:C:C3:C:C:C:N:C:2:3):C([N+](=O)[O-]):C:1
153,CHEMBL1831079,2.21,NC(=O)NC1:C:C(C2:C:C:C:C(O):C:2):S:C:1C(N)=O
154,CHEMBL437,-0.37,NC1:C:C:C(S(=O)(=O)NC2:N:C:C:S:2):C:C:1
155,CHEMBL272105,2.49,COC(=O)C1:N:C2:C(N[C@H](C)CO):N:C(SCC3:C:C:C:C(F):C:3F):N:C:2:[NH]:C:1=O
156,CHEMBL1940108,3.11,COC1:C:C:C:C(NC(=O)CN2:C:C(OC3:N:C:N:C4:C:C(OC):C(OC):C:C:3:4):C:N:2):C:1
157,CHEMBL370252,0.74,CC1CCC2:C:C(F):C:C3:C(=O):C(C(=O)O):C:N1:C:2:3
158,CHEMBL205245,1.61,CC1:N:C(Cl):C(Cl):N:1CC1:S:C2:C(:C:1C(=O)N1CC[C@@H](O)C1):C(=O):N(C):C(=O):N:2CC(C)C
159,CHEMBL2070946,1.2,N#CC1:C:N:C(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2):S:1
160,CHEMBL443320,-1.34,CC1:C:C:C(NC(=N)N):C:C:1C
161,CHEMBL1779497,1.26,O=C(NCC1CCCCC1)C1:C:C(N2:N:C:C(=O):[NH]:C:2=O):C:C:C:1Cl
162,CHEMBL1332736,1.3,O=C(OC1:C:C:C:C:C:1)N1CCOCC1
163,CHEMBL2070948,1.9,CC(C)(C#N)C1:C:N:C(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2):S:1
164,CHEMBL1732699,3.0,FC(F)(F)C1:N:N:C2:C:C:C(N3CCCCC3):N:N:1:2
165,CHEMBL1917433,0.21,CC1:C(SC2:C:C:C(Cl):C:C:2):C2:C(NS(C)(=O)=O):C:C:C:C:2:N:1CC(=O)O
166,CHEMBL2141746,1.55,CCCNC(=O)CSC1:C:C:C(S(=O)(=O)N2CCCC2):C:N:1
167,CHEMBL256576,2.82,C[C@@H](OC1:C:C:C:C2:N:C:N:C(NC3:C:C:C4:C(:C:N:N:4CC4:C:C:C:C:N:4):C:3):C:1:2)C(=O)N1CCOCC1
168,CHEMBL87388,3.52,COC1:C:C:C(CN2:C:C3:C(=O):N(C):C(=O):N(CC(C)C):C:3:C:2):C:C:1
169,CHEMBL150606,3.2,COC1:C:C2:C(NC3:C:C:C(Cl):C:C:3F):N:C:N:C:2:C:C:1OCCN1:C:N:C:N:1
170,CHEMBL8809,1.09,CCN1CCC[C@H]1CNC(=O)C1:C(O):C(Cl):C:C(Cl):C:1OC
171,CHEMBL1233655,0.55,CC(=O)NC1:N:C(C):C(C2:C:N:C(F):C(NS(=O)(=O)C3:S:C(C):N:C:3C):C:2):S:1
172,CHEMBL384962,1.78,CC1:C:C:C2:C(:C:1):C(C1:C:C:N:C3:C:C:C(C(F)(F)F):C:C:1:3):C(C):N:2CC(=O)O
173,CHEMBL1542764,1.43,CSC1:N:C:C:C:C:1C(=O)NC1:N:C:C:S:1
174,CHEMBL2181927,2.51,CCOC1:N:C:C(C):C2:C:1[C@H](C1:C:C:C(C#N):C:C:1OC)C(C(N)=O)=C(C)N2
175,CHEMBL2334590,2.49,CC1:N:C2:C:C:C(Cl):C:N:2:C:1C1:C:C:N:C(N):N:1
176,CHEMBL1480987,2.31,CC1CC(OC(=O)C(O)C2:C:C:C:C:C:2)CC(C)(C)C1
177,CHEMBL2335898,3.34,C[C@@H](NC(=O)C1CCCCN1C)C1:C:C:C(NC2:N:C:C3:C:C(C4:C:C:N:C:C:4):C:C:C:3:N:2):C:C:1
178,CHEMBL401193,4.13,CC1:C:C(C):C:C(C2:[NH]:C3:S:C(C(C)(C)C(=O)N4C5CCC4CC5):C:C:3:C:2CCN2CCN(CC(=O)N(C)C)CC2):C:1
179,CHEMBL1950851,3.12,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCC2:C:C:C(F):C:C:2)C1)C(C)(C)C
180,CHEMBL2035030,2.2,NC1(C2:C:C:C(C3:N:C:C4:C:C:N:C:C:4:C:3C3:C:C:C:C:C:3):C:C:2)CCC1
181,CHEMBL111955,1.77,CC(C)C(NC(=O)CN1:C(C2:C:C:C:C:C:2):C:C:C(NS(C)(=O)=O):C:1=O)C(=O)C(F)(F)F
182,CHEMBL316388,1.5,C[C@H]1CN(C(=O)C2:C:C:C(C#N):C:C:2)[C@H](C)CN1C(=O)[C@@](C)(O)C(F)(F)F
183,CHEMBL248380,2.5,CCOC1:C:C:C:C:C:1C1:C:C:C(C2:N:C3:C:C:C(F):C:C:3:C(N[C@H](C)C(=O)O):C:2C#N):C:C:1
184,CHEMBL235581,1.49,O=C(NCC12CC3CC(CC(C3)C1)C2)C1:C:C(CC2CCNCC2):C:C:C:1Cl
185,CHEMBL1682940,3.17,CC[C@H](NC(=O)C1:C(S(C)(=O)=O):C(C2:C:C:C:C:C:2):N:C2:C:C:C:C:C:1:2)C1:C:C:C:C:C:1
